countries,Region:,image,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,Australia,,622584,663068,711848,769783,832432,900180,973442,1052666,1138338,1217210,1288328,1350647,1403026,1444218,1486620,1530266,1575194,1621441,1669046,1715208,1759825,1802792,1843995,1883321,1923486,1964507,2006403,2049192,2092894,2143510,2201397,2266925,2340480,2422463,2507319,2595146,2686050,2780138,2877522,2968141,3051572,3127374,3195087,3254230,3314469,3375822,3438311,3501956,3566779,3630608,3693392,3755077,3815607,3874926,3935167,3996345,4058473,4121568,4185642,4254768,4329104,4408814,4494067,4585034,4677842,4772528,4869131,4967689,5069403,5171666,5274460,5377766,5481563,5585832,5692084,5800358,5910690,6023122,6137692,6241064,6332911,6412898,6480684,6535920,6591627,6647809,6704469,6761613,6819243,6887974,6968070,7059804,7163452,7279295,7397011,7516631,7638185,7761706,7887223,8025619,8177169,8419836,8632790,8819163,9003364,9209844,9429808,9644190,9853146,10065683,10286648,10505940,10711943,10917377,11131608,11359442,11592675,11809114,12027268,12268351,12595038,12993837,13300319,13513318,13713392,13886865,14038078,14193365,14355814,14520529,14706329,14930055,15168446,15383079,15579478,15785685,16012299,16259251,16525901,16796586,17048002,17271092,17462500,17631514,17805506,18003002,18211850,18410254,18601666,18800892,19017968,19248146,19475842,19699004,19925060,20171732,20467032,20830832,21247876,21660898,22019166,22357032,22729272,23111788,23469578,23820240,24195706,24590336,24979228,25357168,25670052,25921094
Austria,Europe,,3952208,3978557,4005766,4033846,4062123,4090598,4119272,4148148,4177226,4206120,4234828,4263344,4291666,4319789,4348096,4376588,4405268,4434135,4463191,4494618,4528451,4564726,4603479,4644745,4686381,4728390,4770776,4813542,4856691,4900094,4943751,4987664,5031834,5076262,5121082,5166298,5211912,5257930,5304354,5352740,5403122,5455532,5510006,5566579,5623732,5681471,5739804,5798736,5858272,5918417,5979177,6040558,6102566,6165209,6228494,6292428,6357019,6422273,6488197,6538011,6571589,6588805,6589531,6573639,6557784,6541968,6526190,6510449,6494626,6486498,6486071,6493354,6508357,6531085,6553893,6576781,6599749,6622797,6645925,6664880,6679646,6690205,6696544,6698645,6700747,6702849,6704952,6707055,6709160,6715381,6725736,6740238,6758904,6781749,6804670,6827669,6850746,6873901,6897134,6917985,6936443,6930432,6927017,6931796,6939644,6946266,6951744,6965322,6986795,7013602,7046554,7085440,7128972,7174878,7222897,7269892,7320920,7375632,7413813,7439324,7465310,7498548,7542083,7584024,7597028,7576929,7563509,7566357,7560248,7547482,7547564,7566318,7571291,7559110,7558564,7562114,7567247,7572379,7583766,7619393,7678732,7755640,7840816,7905280,7935366,7947293,7958043,7967086,7975856,7991382,8010425,8039633,8078994,8120105,8171215,8227034,8267771,8294720,8321134,8342939,8362829,8391201,8429641,8479542,8546066,8642422,8736491,8797497,8840518,8879939,8907780,8922086
Azerbaijan,,,1157483,1168138,1178892,1189744,1200697,1211750,1222905,1234163,1245524,1256990,1268561,1280239,1292025,1303919,1315923,1328037,1340262,1352600,1365052,1377618,1390300,1403099,1416015,1429051,1442206,1455483,1468881,1482404,1496050,1509822,1523721,1537748,1551904,1566191,1580609,1595159,1609844,1624663,1639620,1654713,1669946,1685319,1700834,1716491,1732293,1748240,1764333,1780575,1796967,1813509,1830204,1847052,1864055,1881215,1898533,1916010,1933649,1951449,1969414,1987543,2005840,2024305,2042940,2061747,2080727,2099881,2119212,2138721,2158347,2178153,2198141,2218313,2238670,2259213,2279945,2300867,2321981,2343289,2364793,2386493,2408393,2430494,2452798,2475306,2498021,2520944,2544078,2567424,2590984,2614761,2638756,2662970,2687407,2712069,2736956,2762072,2787419,2812998,2838812,2876962,3158966,3225286,3296855,3374179,3458190,3550019,3649876,3758024,3874680,3999401,4131486,4269888,4412326,4556656,4699755,4837814,4969086,5091825,5207417,5318382,5425315,5529214,5630355,5729066,5826988,5925014,6021460,6115755,6208637,6297217,6383063,6472533,6567528,6669009,6777233,6891144,7009132,7132688,7261150,7348876,7427840,7538266,7643343,7740112,7821889,7889335,7949107,8000068,8041100,8101447,8190341,8282030,8372128,8462335,8556168,8656243,8763353,8878408,8999697,9119630,9237203,9359018,9485577,9614478,9741879,9863485,9976254,10071569,10152524,10232761,10284952,10312992
Bahamas,,,28369,28805,29373,30076,30797,31535,32290,33063,33855,34583,35245,35837,36357,36802,37252,37708,38169,38636,39109,39597,40102,40622,41160,41715,42277,42847,43424,44009,44602,45172,45718,46239,46735,47205,47680,48159,48644,49133,49627,50157,50724,51329,51974,52657,53350,54052,54763,55483,56212,56857,57414,57883,58262,58549,58838,59127,59418,59710,60004,60188,60263,60228,60084,59829,59576,59323,59071,58821,58498,58385,58482,58793,59318,60058,60808,61567,62336,63114,63901,64720,65570,66452,67366,68315,69276,70251,71240,72242,73259,74111,74794,75307,75646,75808,75971,76135,76298,76462,76627,77491,81651,82915,84605,86752,89364,92458,96021,100016,104423,109247,114512,120227,126320,132655,138798,144862,151343,158210,165469,172761,179149,184447,189194,193577,197771,201900,206106,210540,215032,219437,223761,227971,232184,236595,241176,245945,250815,255626,260458,265505,270690,276072,281982,288172,294006,299567,304944,310183,315410,320282,325033,329639,334015,338505,343097,347815,352672,357678,362807,368064,373277,377956,382073,385660,389137,392707,395986,399027,401911,404563,406478,407920
Bahrain,,,64474,64460,64446,64431,64417,64403,64389,64375,64361,64346,64332,64318,64304,64290,64276,64261,64247,64233,64219,64282,64422,64640,64936,65311,65688,66067,66448,66832,67217,67605,67995,68388,68782,69179,69578,69980,70384,70790,71198,71609,72022,72438,72856,73276,73699,74124,74552,74982,75415,75850,76288,76728,77171,77616,78064,78514,78967,79423,79881,80875,82428,84564,87310,90691,94204,97852,101642,105579,109692,113045,115606,117347,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118233,118130,117923,117613,117201,116687,116175,115666,115158,114653,114150,114463,117160,120371,123695,127198,130908,134883,139184,143914,149092,154698,160702,166981,173370,179903,186604,193024,199029,204934,210815,216707,222567,231001,243159,256644,270637,285125,300046,315350,330930,346705,362600,377435,391031,404779,419228,434387,450202,466573,483343,500360,517429,535419,554480,573762,593259,612941,632763,652651,672484,692138,711446,730263,748332,778260,833454,901928,970986,1040545,1110352,1179460,1213655,1212086,1224948,1261683,1311142,1362157,1409668,1456844,1487346,1494195,1477478,1463266
Bangladesh,Asia,https://public.flourish.studio/country-flags/svg/bd.svg,22712211,22749214,22786122,22822933,22859646,22896258,22932769,22969178,23005482,23041679,23077770,23113751,23149622,23185380,23221024,23256553,23291965,23327258,23362431,23407147,23461426,23525289,23598755,23681844,23765043,23848350,23931763,24015280,24098898,24182617,24266433,24350345,24434351,24518448,24602634,24686907,24771265,24855706,24940227,25024825,25109499,25194246,25279064,25363950,25448902,25533916,25618991,25704124,25789313,25874553,25959844,26045181,26130563,26215987,26301449,26386946,26472476,26558036,26643623,26716832,26777647,26826054,26862036,26885581,26908885,26931945,26954759,26977325,27085200,27193506,27302246,27411420,27521031,27631081,27741570,27852501,27963876,28075696,28187963,28391605,28688805,29081793,29572842,30164276,30767538,31382865,32010498,32650683,33303671,33889653,34406613,34852490,35225174,35522508,35822352,36124727,36429654,36737156,37047252,37432443,39728540,40548596,41426888,42329284,43282036,44315552,45407672,46560516,47742792,49004964,50396428,51882776,53461664,55094120,56774476,58500156,60265264,62104488,63995656,65866916,67541864,68376208,69346712,71144816,72947808,74700344,76380080,78137792,80007552,81908160,83929768,86154832,88555344,91045480,93534248,95959104,98271752,100490256,102688832,104893672,107147656,109242832,111272104,113418760,115614904,117793336,119876872,122039232,124350472,126754824,129193336,131670488,134139824,136503216,138789728,140912592,142628832,144135936,145421328,146706816,148391136,150211008,152090656,154030144,155961312,157830000,159784576,161793968,163683952,165516224,167420944,169356240
Barbados,,,135605,137492,139263,140914,142585,144275,145986,147717,149468,151053,152468,153711,154779,155667,156561,157459,158363,159272,160186,161115,162058,163015,163987,164973,165965,166964,167968,168979,169995,171025,172068,173125,174196,175281,176372,177470,178575,179687,180806,181956,183138,184352,185599,186878,188167,189464,190770,192086,193410,193964,193754,192783,191056,188579,186133,183719,181336,178984,176663,174506,172509,170670,168986,167452,165932,164426,162934,161455,159989,159146,158926,159332,160363,162020,163694,165386,167095,168822,170566,172350,174173,176037,177942,179889,181857,183846,185857,187891,189946,191921,193813,195620,197341,198974,200621,202281,203955,205643,207345,209127,210556,215438,219481,222736,225315,227330,228628,229474,230355,231418,232560,233702,234839,235884,236840,237698,238497,239253,239921,240598,241402,242357,243468,244650,245861,247096,248363,249669,251019,252340,253582,254695,255654,256516,257291,257917,258377,258668,258771,258767,258871,259414,260226,261001,261720,262309,262808,263234,263647,264181,264663,265384,266467,267509,268514,269489,270436,271460,272647,273801,274717,275501,276207,276873,277501,278095,278660,279199,279702,280193,280704,281204
Belarus,,,3097828,3126490,3155417,3184612,3214077,3243815,3273827,3304118,3334688,3365542,3396680,3428107,3459825,3491836,3524143,3556750,3589657,3622870,3656389,3690219,3724362,3758820,3793597,3828696,3864120,3899872,3935954,3972370,4009123,4046216,4083652,4121434,4159566,4198051,4236892,4276092,4315655,4355584,4395882,4436553,4477601,4519028,4560838,4603035,4645623,4688604,4731984,4775764,4819950,4864544,4909551,4954974,5000818,5047085,5093781,5140909,5188472,5236476,5284924,5333820,5383168,5432973,5483238,5533969,5585169,5636843,5688994,5741629,5794317,5847489,5901150,5955302,6009952,6065103,6120760,6176927,6233611,6290814,6348542,6406800,6465593,6524925,6584802,6645228,6706209,6767749,6829854,6892529,6955779,7019609,7084025,7149033,7214637,7280842,7347656,7415082,7483128,7551797,7621097,7685525,7906861,7879090,7875526,7893242,7927676,7976362,8037361,8109537,8194568,8288642,8389186,8495750,8599863,8694987,8779748,8854532,8921804,8985775,9047806,9108449,9170790,9236772,9303947,9369577,9435594,9500735,9564385,9628882,9693322,9756258,9817256,9877123,9938940,10004049,10069354,10133217,10201675,10270610,10333484,10387611,10428527,10457619,10475912,10480485,10475397,10461694,10436455,10400926,10357472,10308281,10256489,10201212,10135391,10065881,9999713,9935166,9874700,9825990,9787829,9757710,9731426,9706983,9693754,9691143,9693741,9700609,9708111,9707874,9695573,9673971,9633745,9578172
Belgium,Europe,,4443056,4475312,4505727,4534270,4562994,4591900,4620989,4650263,4679721,4710231,4741806,4774457,4808199,4843045,4878143,4913495,4949104,4984970,5021097,5058646,5097637,5138090,5180026,5223465,5267269,5311440,5355982,5400897,5446189,5493172,5541874,5592321,5644541,5698561,5753099,5808158,5863744,5919863,5976518,6033943,6092147,6151140,6210932,6271532,6332723,6394512,6456903,6519904,6583519,6649435,6717693,6788335,6861404,6936940,7013309,7090518,7168577,7247495,7327282,7392503,7442986,7478558,7499046,7504272,7509502,7514736,7519973,7525214,7530616,7545092,7568708,7601534,7643636,7695085,7746881,7799025,7851520,7904369,7957573,8005591,8048371,8085859,8118000,8144741,8171569,8198486,8225492,8252586,8279770,8307322,8335242,8363535,8392202,8421245,8450388,8479632,8508977,8538424,8567973,8600995,8617340,8655405,8695589,8740418,8787230,8834527,8881499,8931968,8987667,9049394,9108729,9168479,9230337,9288223,9350473,9412091,9466114,9515229,9556258,9592105,9629376,9666396,9700295,9727987,9749063,9763432,9773540,9786372,9800204,9814133,9828989,9843594,9857337,9866528,9873600,9880540,9887822,9900226,9917989,9937168,9959565,9987072,10016455,10043738,10069182,10095204,10123230,10154876,10188541,10224223,10264351,10309249,10355569,10402550,10456164,10516979,10582970,10653698,10726720,10801357,10877948,10955742,11031140,11103260,11176727,11248306,11316837,11384491,11448598,11510569,11561716,11611416
Belize,,,25881,25905,25930,25955,25979,26004,26028,26053,26078,26080,26059,26015,25949,25860,25771,25683,25595,25507,25419,25391,25422,25512,25663,25874,26086,26300,26516,26734,26954,27209,27501,27830,28197,28603,29015,29433,29856,30286,30722,31190,31689,32221,32788,33389,34001,34625,35260,35906,36565,37159,37688,38149,38541,38861,39184,39510,39838,40169,40502,40872,41278,41721,42203,42723,43250,43783,44323,44869,45401,45946,46504,47076,47662,48263,48871,49486,50109,50740,51380,52049,52748,53479,54243,55039,55847,56667,57498,58342,59199,60022,60812,61567,62287,62970,63660,64358,65064,65777,66498,67540,69134,71238,73480,75659,77822,80005,82214,84469,86758,89078,91420,93774,96200,98877,101790,104853,108075,111423,114843,118164,120921,123105,125075,126889,128634,130818,133487,136200,138949,141843,145147,148782,152420,156070,159739,163453,167212,170995,174831,178711,182603,186478,190312,194192,198430,203572,209857,217127,224917,232750,240420,248109,256000,264006,272141,280386,288745,297182,305687,314178,322115,329546,337067,344695,352343,359884,367327,374702,382076,389103,394931,400037
Benin,,,789547,795146,800236,804808,809403,814022,818664,823329,828018,833422,839553,846423,854045,862430,870895,879440,888065,896773,905562,914528,923672,932998,942508,952205,961999,971891,981881,991970,1002160,1011939,1021297,1030226,1038715,1046755,1054855,1063013,1071232,1079510,1087849,1096041,1104082,1111970,1119701,1127272,1134892,1142559,1150275,1158039,1165852,1174434,1183800,1193961,1204933,1216728,1228636,1240656,1252791,1265040,1277406,1289691,1301894,1314011,1326039,1337975,1350015,1362159,1374408,1386764,1396880,1409255,1423936,1440974,1460421,1482327,1504562,1527130,1550037,1573288,1596887,1620511,1644156,1667818,1691492,1715172,1739185,1763533,1788223,1813258,1838644,1865897,1895071,1926220,1959401,1994670,2030574,2067124,2104333,2142211,2180770,2218454,2264457,2280682,2297837,2316685,2337371,2360087,2385284,2413058,2443408,2476500,2512290,2551223,2593309,2638089,2685626,2735843,2788645,2843744,2901225,2961174,3023443,3088385,3156412,3227385,3301277,3378701,3460331,3546458,3636937,3732395,3833947,3941578,4054390,4171533,4293077,4419558,4551384,4688794,4831628,4979683,5133429,5293055,5457781,5706188,5923401,6046512,6203860,6387026,6584179,6788596,6998022,7212043,7431787,7659211,7894558,8149420,8402635,8647761,8906472,9172514,9445716,9726385,10014087,10308730,10614845,10932791,11260091,11596786,11940688,12290443,12643121,12996901
Bhutan,,,337593,336081,334575,333077,331584,330099,328620,327147,325681,324222,322769,321322,319882,318448,317021,315600,314185,312776,311374,309978,308588,307204,305826,304455,303089,301729,300376,299029,297687,296351,295022,293698,292380,291068,289762,288461,287167,285878,284594,283317,282045,280779,279518,278263,277013,275769,274531,273298,272071,270849,269632,268421,267215,266014,264819,263629,262445,261265,260091,259180,258530,258140,258011,258140,258269,258398,258527,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,258657,256521,252338,246192,238164,228332,218906,209869,201204,192898,184935,179583,176380,179844,183558,187490,191656,196028,200618,205440,210480,215755,221277,227083,233434,240282,247452,255024,262986,271345,280111,289310,298907,308850,319142,329807,340846,352280,364131,376398,389082,402067,415266,428649,442217,456042,470179,484531,499158,514033,529057,544217,558449,567719,545956,520840,521268,527535,537500,546873,557153,571002,587210,603243,619055,634635,649995,663332,673273,681624,689741,697682,705523,713338,721154,728898,736362,743284,749764,756130,762104,767467,772512,777500
Bolivia,Americas,,1371417,1381051,1389867,1397851,1405879,1413949,1422063,1430219,1438420,1446664,1454952,1463284,1471661,1480082,1488549,1497060,1505617,1514220,1522868,1520913,1508586,1486114,1453714,1411598,1370699,1330983,1292414,1254960,1218590,1195276,1184939,1187511,1202929,1231141,1260013,1289558,1319794,1350736,1382401,1414805,1447966,1481901,1516628,1552166,1588533,1625749,1663834,1702807,1742690,1778417,1809836,1836790,1859118,1876655,1894354,1912216,1930243,1948436,1966796,1988198,2012721,2040448,2071462,2105847,2140800,2176328,2212442,2249150,2283325,2316325,2348113,2378651,2407900,2435820,2464063,2492634,2521536,2550773,2580349,2610271,2640541,2671165,2702146,2733488,2765194,2797268,2829714,2862536,2895738,2924107,2947570,2966057,2979495,2987811,2996150,3004512,3012898,3021307,3029739,3049820,3089847,3136898,3186940,3240447,3297552,3357924,3421571,3488300,3558669,3632170,3707520,3784750,3864143,3945728,4029474,4115514,4204072,4295273,4389247,4486107,4585696,4688273,4793809,4902250,5013765,5127783,5244361,5363918,5486139,5610389,5736092,5862996,5991117,6120628,6251924,6385634,6521990,6661432,6804076,6949147,7096195,7244896,7394417,7544494,7693728,7841471,7989373,8137627,8286930,8439057,8592656,8746087,8900591,9057386,9216282,9377395,9542663,9711155,9880593,10051322,10223277,10396249,10569697,10743352,10916991,11090090,11263016,11435535,11606906,11777318,11936169,12079474
Bosnia and Herzegovina,,,1024184,1030375,1036603,1042869,1049173,1055515,1061895,1068314,1074772,1081268,1087804,1094380,1100995,1107650,1114345,1121081,1127857,1134675,1141533,1150756,1162393,1176497,1193122,1212321,1231829,1251651,1271792,1292257,1313052,1333672,1354109,1374352,1394390,1414213,1434317,1454707,1475388,1496362,1517634,1538333,1558441,1577938,1596808,1615029,1633459,1652098,1670951,1690018,1709303,1728808,1748536,1768489,1788669,1809080,1829723,1850602,1871719,1893078,1914680,1934961,1953896,1971458,1987619,2002351,2017192,2032144,2047206,2062380,2077907,2093552,2109314,2125195,2141195,2157316,2173559,2189923,2206411,2223023,2239760,2256623,2273613,2290731,2307978,2325354,2342862,2360501,2378273,2396179,2414220,2432396,2450709,2469161,2487751,2506481,2525352,2544365,2563522,2582822,2602268,2628366,2692914,2738125,2787386,2841474,2899036,2958434,3018308,3078144,3138475,3200054,3262540,3325338,3387521,3448535,3507961,3565526,3620850,3673376,3723069,3770379,3815565,3859250,3901896,3943151,3983066,4022094,4060043,4096524,4131522,4165508,4199816,4235971,4274014,4312524,4349602,4383311,4413378,4440298,4463329,4481226,4494314,4502389,4275737,3942985,3762334,3750528,3907749,4047756,4115062,4153006,4179355,4194941,4198410,4183758,4142858,4094297,4058086,4007877,3943390,3877755,3811093,3743143,3674376,3617564,3571070,3524328,3480985,3440025,3400132,3360718,3318410,3270948
Botswana,,,100884,101336,102074,103098,104132,105176,106231,107297,108373,109461,110559,111668,112788,113919,115062,116216,117382,118560,119749,120950,122163,123389,124627,125877,127139,128415,129703,131004,132318,133646,134986,136340,137708,139089,140485,141894,143317,144755,146207,147673,149155,150651,152162,153689,155230,156787,158360,159949,161553,163383,165444,167741,170281,173069,175903,178784,181712,184687,187712,190749,193799,196862,199936,203021,206155,209336,212567,215848,219194,222842,226800,231080,235691,240644,245702,250866,256138,261521,267018,272583,278218,283924,289700,295547,301513,307599,313808,320142,326604,333128,339716,346366,353080,359855,366761,373799,380973,388284,395735,403813,413489,422896,432601,442494,452270,461892,471467,481230,491312,501837,512874,524413,536436,549046,562288,570984,574860,578731,582661,586748,592254,604146,626618,657255,691577,727933,766429,806972,849404,893509,938582,982753,1023019,1060729,1099177,1138713,1179266,1220365,1261276,1301681,1341480,1380593,1420696,1462267,1503551,1543641,1582175,1619358,1655707,1691561,1726992,1761940,1795137,1826866,1859087,1892819,1928714,1966980,2007322,2048997,2091666,2134043,2175429,2217285,2260383,2305177,2352419,2401848,2451411,2499705,2546404,2588424
Brazil,Americas,https://public.flourish.studio/country-flags/svg/br.svg,7233093,7346153,7460087,7574896,7691472,7809841,7930032,8052073,8175992,8301818,8429580,8559308,8691032,8824784,8960594,9098494,9238516,9380693,9525057,9678407,9841009,10013136,10195066,10387088,10582725,10782048,10985124,11192026,11402824,11617608,11836453,12059437,12286637,12518134,12753992,12994293,13239123,13488565,13742706,14016411,14310406,14625437,14962274,15321712,15689785,16066699,16452668,16847909,17252644,17657865,18063384,18469004,18874521,19279718,19693613,20116394,20548251,20989379,21439977,21899583,22368378,22846544,23334267,23831738,24339814,24858721,25388691,25929959,26479919,27037602,27603092,28176472,28757825,29347235,29948725,30562543,31188942,31828179,32480517,33146151,33825351,34518393,35225560,35947139,36683499,37434943,38201781,38984326,39782902,40648271,41583140,42590310,43672675,44833224,46024612,47247661,48503211,49792125,51115291,52508525,53955360,55591060,57283340,59025680,60827596,62701036,64644888,66660892,68735928,70880824,73092520,75330008,77599224,79915560,82262800,84623752,86979288,89323288,91659248,94000384,96369888,98766288,101194392,103666904,106167376,108700512,111286504,113939888,116664384,119447304,122288384,125168064,128065104,130977376,133888776,136783184,139643360,142466272,145253984,148003424,150706448,153336448,155900784,158440864,160980480,163515328,166037120,168546704,171039808,173486272,175873712,178211888,180476688,182629280,184722048,186797344,188820688,190779456,192672320,194517552,196353504,198185296,199977712,201721776,203459648,205188208,206859584,208504960,210166592,211782880,213196304,214326224
Brunei,,,4208,4297,4389,4482,4577,4674,4773,4874,4978,5083,5191,5305,5424,5550,5683,5823,5969,6123,6285,6455,6633,6659,6853,7059,7279,7512,7760,8016,8280,8553,8836,9127,9428,9739,10061,10392,10735,11089,11455,11833,12223,12626,13043,13473,13918,14377,14851,15341,15847,16370,16910,17467,18044,18639,19253,19889,20545,21188,21818,22433,23033,23239,23448,23854,24268,24688,25116,25551,25982,26406,26825,27237,27643,28041,28445,28855,29271,29693,30121,30662,31322,32106,33019,34067,35148,36263,37413,38601,39825,40899,41815,42567,43148,43550,43955,44365,44778,45195,45616,46542,48290,51113,54038,57195,60608,64283,68225,72398,76708,81067,85361,89580,93853,98292,102921,107701,112608,117645,122783,128021,133349,138679,143903,149076,154327,159667,165079,170572,176184,181964,187931,194106,200642,207541,214701,222134,229827,237727,245746,253824,261936,269869,277427,284723,291950,299108,306210,313224,320156,327058,333937,340759,347470,354049,360472,366728,372814,378761,384579,390322,396064,401515,406637,411704,416670,421449,426001,430290,434283,438058,441736,445382
Bulgaria,Europe,,2495877,2502864,2508488,2512739,2516997,2521262,2525535,2529815,2534102,2538396,2542698,2547007,2551323,2555647,2559978,2564316,2568662,2573015,2577375,2588338,2606011,2630500,2661916,2700370,2739380,2778953,2819098,2859823,2901137,2943047,2985562,3028692,3072444,3116829,3161855,3207531,3253868,3300873,3348558,3397349,3447267,3498337,3550580,3604021,3658267,3713329,3769219,3825951,3883537,3939787,3994654,4048091,4100048,4150474,4201521,4253195,4305504,4358457,4412062,4465685,4519321,4572962,4626600,4680227,4734477,4789354,4844868,4901026,4957824,5021176,5091263,5168265,5252369,5343766,5436753,5531358,5627610,5725537,5825167,5917763,6003113,6081002,6151209,6213508,6276439,6340006,6404218,6469080,6534599,6598531,6660842,6721495,6780455,6837686,6895399,6953599,7012291,7071478,7131164,7191004,7157630,7228735,7293469,7362716,7439592,7517927,7596099,7672064,7749341,7820755,7891763,7969343,8040771,8108150,8177724,8245080,8308898,8369839,8438287,8512917,8582960,8646261,8700151,8753492,8810681,8860971,8902475,8935448,8958270,8974434,8980602,8978415,8970487,8956441,8939492,8917080,8892099,8865756,8835822,8804436,8767778,8721659,8668545,8611541,8548469,8477584,8401382,8318965,8234934,8162298,8097694,8034863,7974804,7917745,7865314,7815221,7766040,7719035,7674912,7634737,7592271,7543128,7488347,7431169,7372142,7309255,7245982,7182430,7117424,7052536,6979181,6885864
Burkina Faso,,,1849996,1856960,1863377,1869243,1875124,1881022,1886935,1892865,1898811,1904773,1910751,1916746,1922757,1928784,1934828,1940888,1946965,1953058,1959168,1966082,1973808,1982354,1991726,2001932,2012188,2022494,2032850,2043257,2053715,2064223,2074783,2085394,2096057,2106771,2117538,2128357,2139229,2150154,2161132,2172600,2184563,2197027,2209997,2223480,2237042,2250684,2264407,2278211,2292096,2308844,2328510,2351147,2376811,2405559,2434653,2464095,2493890,2524043,2554557,2583869,2611948,2638764,2664284,2688477,2712886,2737514,2762362,2787433,2809732,2835065,2863492,2895075,2929879,2967968,3006551,3045636,3085230,3125337,3165967,3206475,3246852,3287088,3327175,3367101,3407506,3448396,3489777,3531654,3574034,3619850,3669191,3722146,3778808,3839269,3900697,3963108,4026518,4090942,4156397,4220915,4213762,4261987,4312577,4364034,4417101,4472827,4530890,4591020,4651798,4715490,4783261,4852836,4924498,4998671,5076110,5157928,5242799,5330614,5422122,5515754,5611666,5707795,5805284,5907748,6018147,6138449,6269765,6416569,6577786,6749937,6932969,7123735,7321819,7531194,7751478,7979187,8207833,8434994,8663721,8895235,9131362,9365072,9598555,9840080,10091260,10353268,10621215,10897363,11201067,11533557,11882896,12249767,12632278,13030600,13445981,13876134,14316247,14757072,15197917,15650018,16116851,16602652,17113736,17636414,18169844,18718022,19275504,19835860,20392730,20951638,21522632,22100690
Burundi,,,1402560,1414726,1424460,1431715,1439006,1446334,1453697,1461097,1468533,1476005,1483515,1491061,1498645,1506266,1513924,1521620,1529354,1537126,1544936,1553097,1561612,1570484,1579718,1589316,1598972,1608684,1618454,1628282,1638169,1648114,1658118,1668181,1678304,1688486,1698730,1709033,1719398,1729825,1740312,1746631,1748784,1746776,1740609,1730287,1720024,1709821,1699677,1689592,1679565,1668600,1656711,1643914,1630224,1615656,1601217,1586905,1572720,1558661,1544725,1532128,1520850,1510872,1502175,1494741,1487342,1479979,1472650,1465357,1459496,1459159,1464409,1475305,1491911,1514289,1537004,1560059,1583460,1607212,1631320,1655454,1679609,1703780,1727964,1752156,1776686,1801560,1826782,1852357,1878290,1906130,1935933,1967755,2001651,2037681,2074359,2111697,2149708,2188403,2227794,2267964,2254121,2303256,2351540,2399100,2446765,2495202,2544266,2593848,2643156,2693642,2746633,2815976,2887397,2948131,3033227,3118139,3193389,3274496,3352406,3424431,3497842,3582080,3579196,3571455,3660036,3749235,3830894,3927429,4039416,4137435,4312846,4490745,4602275,4726511,4842271,4948031,5041711,5157770,5271844,5373706,5483800,5594838,5743083,5555227,5586415,5932789,5930512,5923863,6035347,6180189,6307665,6465731,6648951,6860854,7120502,7388869,7658194,7944613,8278112,8709371,9126612,9455737,9795479,10149583,10494920,10727153,10903329,11155592,11493476,11874838,12220229,12551215
